year,offence_type,offence_group,source,target,value
2009,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,693
2009,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,139
2009,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,164
2009,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,217
2009,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,97
2009,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,107
2009,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,108
2009,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,4
2009,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,39
2009,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,24
2009,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,46
2009,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,26
2009,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,765
2009,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,68
2009,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,499
2009,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,106
2009,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,42
2009,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,61
2009,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,57
2009,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,6
2009,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,16
2009,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,11
2009,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,25
2009,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,10
2009,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,291
2009,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,22
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,122
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,136
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,18
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,15
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,16
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,2
2009,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,4
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,175
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,12
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,86
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,64
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,14
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,11
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Caution,1
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,8
2009,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,3
2009,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,6575
2009,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,2612
2009,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,1092
2009,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,1809
2009,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,1090
2009,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,1593
2009,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,991
2009,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,80
2009,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,557
2009,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,479
2009,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,1239
2009,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,257
